video_time,reference_tag,annotation_type,text_description,ref,url
1:27-1:32,,citation,"Numbers of viral proteins: 100 S proteins, 20 E pentamers (100 proteins), 1000 M dimers (2000 proteins), 1000 N proteins","Yinon M Bar-On, Avi Flamholz, Rob Phillips, Ron Milo. Science Forum: SARS-CoV-2 (COVID-19) by the numbers. eLife 2020;9:e57309 DOI: 10.7554/eLife.57309",https://elifesciences.org/articles/57309
1:27-1:32,,structure,S protein model: PDB 6VSB; M protein dimer and E protein pentamers were downloaded from Feig lab repository,,"https://www.rcsb.org/structure/6VSB

https://github.com/feiglab/sars-cov-2-proteins/tree/master/Membrane
"
1:27-1:32,,structure,Cell surface proteins: ACE2 model: PDB 6M17 (purple); TMPRSS2 (orange) and furin (yellow): no PDB available for the transmembrane domains ,,http://www.rcsb.org/structure/6m17
1:27-1:46,,citation,30kb RNA should be around 8000 nm long. There is still uncertainty regarding how much RNA is tightly bound by N proteins. This model is based on the observations by Klein & al that the genome is packaged around multiple separate RNP complexes,"Klein S, Cortese M, Winter SL, Wachsmuth-Melm
M, Neufeldt CJ, Cerikan B, Stanifer ML, Boulant S,
Bartenschlager R, Chlanda P. SARS-CoV-2 
structure and replication characterized by in situ 
cryo-electron tomography. Nat Commun. 2020 Nov 
18;11(1):5885. doi: 10.1038/s41467-020-19619-7. ",https://www.nature.com/articles/s41467-020-19619-7
1:27-1:46,,structure,N protein CTD (PDB: 6YI3) and NTD (PDB: 6YUN) models were arranged in octamers as described in Chen et al 2007 for SARS-CoV1. Uncertainty about the exact structure of the RNPs ,"Chun-Yuan Chen, Chung-ke Chang, 
Yi-Wei Chang, Shih-Che Sue, Hsin-I Bai, 
Lilianty Riang, Chwan-Deng Hsiao, and 
Tai-huang Huang. Structure of the SARS 
Coronavirus Nucleocapsid Protein 
RNA-binding Dimerization Domain Suggests
 a Mechanism for Helical Packaging of Viral 
RNA. J Mol Biol. 2007 May 11; 
368(4): 1075–1086.","https://www.rcsb.org/structure/6YI3

https://www.rcsb.org/structure/6YUN

https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7094638/

"
1:32-1:45,,Event,"Translation is intiated by a Cap-dependent
mechanism and cellular ribosomes start synthetizing the viral polyproteins","Viral and Cellular mRNA Translation in Coronavirus-Infected 
Cells. Nakagawa K, Lokugamage KG, Makino S. Adv Virus Res. 
2016; 96():165-192.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5388242/
1:32-1:41,,structure,Translation Initiation Complex,,
1:32-3:44,,structure,Ribosome model is from PDB 5AJ0,,https://www.rcsb.org/structure/5AJ0
1:45-1:55,,Event,"Nucleocapsid disassembly. Significant uncertainty 
about the precise mechanism",,
1:38-2:30,,structure,Nsp1 is from PDB 2HSX,,https://www.rcsb.org/structure/2HSX
1:38-2:29,,structure,Nsp2 model was downloaded from Zhang lab repository,,https://zhanglab.ccmb.med.umich.edu/COVID-19/
1:44-2:36,,structure,"Nsp3 model is created from a series of disctinct
 structures: UB1 domain is from PDB 2IDY;
ADPR domain is from PDB 2ACF; SUD-N-M is from 
PDB 2W2G; SUD-C is from PDB 2KAF; UB2-PL2Pro
is from PDB 2FE8; NAB is from PDB 2K87; the 
unsolved regions were modeled from the predicted
structure downloaded from Zhang lab repository. 
The relative organization of the domains is 
uncertain but supposedly flexible",,"https://www.rcsb.org/structure/2IDY
https://www.rcsb.org/structure/2ACF
https://www.rcsb.org/structure/2W2G
https://www.rcsb.org/structure/2KAF
https://www.rcsb.org/structure/2FE8
https://www.rcsb.org/structure/2K87

https://zhanglab.ccmb.med.umich.edu/COVID-19/"
3:59-4:27,,structure,"Nsp3 model is created from a series of disctinct
 structures: UB1 domain is from PDB 2IDY;
ADPR domain is from PDB 2ACF; SUD-N-M is from 
PDB 2W2G; SUD-C is from PDB 2KAF; UB2-PL2Pro
is from PDB 2FE8; NAB is from PDB 2K87; the 
unsolved regions were modeled from the predicted
structure downloaded from Zhang lab repository. 
The relative organization of the domains is 
uncertain but supposedly flexible",,"https://www.rcsb.org/structure/2IDY
https://www.rcsb.org/structure/2ACF
https://www.rcsb.org/structure/2W2G
https://www.rcsb.org/structure/2KAF
https://www.rcsb.org/structure/2FE8
https://www.rcsb.org/structure/2K87

https://zhanglab.ccmb.med.umich.edu/COVID-19/"
2:11-2:24,,Event,"Polyprotein cleavage by Nsp3 protease domain 
probably starts early during translation and prior to 
membrane insertion. The protease domain is sufficient for 
processing the predicted nsp1/2 and nsp2/3 sites, but the 
downstream hydrophobic domain is required for 
processing at the predicted nsp3/4 site
We expect that at least some of the cleavages need to 
occur in cis early in infection when the protein concentration
is low.","Harcourt B.H., Jukneliene D., Kanjanahaluethai A., Bechill J.,
 Severson K.M., Smith C.M., Rota P.A., Baker S.C. 
Identification of severe acute respiratory syndrome 
coronavirus replicase products and characterization of 
papain-like protease activity. Journal of Virology. 
2004;78(24):13600–13612.",https://jvi.asm.org/content/78/24/13600
2:18-2:36,,structure,"Nsp4 model was downloaded from Zhang lab 
repository and the domains were rotated and moved 
relative to one another to fit inside the membrane. 
This assumes the presence of flexible linker regions",,https://zhanglab.ccmb.med.umich.edu/COVID-19/
3:59-4:27,,structure,"Nsp4 model was downloaded from Zhang lab 
repository and the domains were rotated and moved 
relative to one another to fit inside the membrane. 
This assumes the presence of flexible linker regions",,https://zhanglab.ccmb.med.umich.edu/COVID-19/
2:17-3:57,,structure,Nsp5 is from PDB 6Y2E,,https://www.rcsb.org/structure/6Y2E
2:25-2:36,,structure,Nsp6 model was downloaded from Zhang lab repository,,https://zhanglab.ccmb.med.umich.edu/COVID-19/
2:10-2:26,,Event,"The mechanism of nsp3, 4 and 6 into the ER 
membrane is purely speculative; it is depicted here
as being co-translationnal and involving Sec61",,
2:00-2:36,,structure,Sec61 model is from PDB 3J7Q,,https://www.rcsb.org/structure/3J7Q
2:27-3:57,,structure,Nsp7 model is from PDB 6YYT,,https://www.rcsb.org/structure/6YYT
2:33-3:57,,structure,Nsp8 model is from PDB 6YYT,,https://www.rcsb.org/structure/6YYT
