video_time,key,associated_structures,has_unkown,annotation_type,text_description,ref,url,additional_notes,
00:00-00:16,0,,FALSE,phase,SARS-CoV-2 anatomy,na,na,
00:00-00:16,1,"e protein, m protein",FALSE,citation,Numbers of viral proteins: 20 E pentamers (100 proteins) and 1000 M dimers (2000 proteins),"Yinon M Bar-On, Avi Flamholz, Rob Phillips, Ron Milo. Science Forum: SARS-CoV-2 (COVID-19) by the numbers. eLife 2020;9:e57309 DOI: 10.7554/eLife.57309",https://elifesciences.org/articles/57309,
00:00-00:16,2,s protein,FALSE,citation,There are around 30 S trimers shown in this model. This number is based both on Turonova et al. 2020 and on Ke et al. 2020,"Ke, Z., Oton, J., Qu, K. et al. Structures and distributions of SARS-CoV-2 spike proteins on intact virions. Nature 588, 498–502 (2020). https://doi.org/10.1038/s41586-020-2665-2",https://www.nature.com/articles/s41586-020-2665-2,
00:00-00:16,3,s protein,FALSE,citation,Each S trimer is able to bend in a flexible manner. This bending is based on cryo-ET images from Ke et al. 2020 and Turonova et al. 2020,"Beata Turoňová, Mateusz Sikora, Christoph Schürmann, Wim J. H. Hagen, Sonja Welsch, Florian E. C. Blanc, Sören von Bülow, Michael Gecht, Katrin Bagola, Cindy Hörner, Ger van Zandbergen, Jonathan Landry, Nayara Trevisan Doimo de Azevedo, Shyamal Mosalaganti, Andre Schwarz, Roberto Covino, Michael D. Mühlebach, Gerhard Hummer, Jacomine Krijnse Locker, and Martin Beck. In situ structural analysis of SARS-CoV-2 spike reveals flexibility mediated by three hinges. Science. 2020 Oct 9; 370(6513): 203–208. PMCID: PMC7665311",https://science.sciencemag.org/content/370/6513/203,
00:00-00:16,4,s protein,FALSE,structure,The animation shows the S protein undergoing a 'breathing' motion where different subunits are in the 'up' state at different times. The relative length of time that the subunits should spend in the up state was uncertain.,"Wrapp D, Wang N, Corbett KS, Goldsmith JA, Hsieh CL, Abiona O, Graham BS, McLellan JS. Cryo-EM structure of the 2019-nCoV spike in the prefusion conformation. Science. 2020 Mar 13;367(6483):1260-1263. doi: 10.1126/science.abb2507. Epub 2020 Feb 19. PMID: 32075877; PMCID: PMC7164637.",https://science.sciencemag.org/content/367/6483/1260.long,
00:00-00:16,5,s protein ,FALSE,structure,Full-length glycosylated S protein model was downloaded from CHARMM-GUI. This model was modified from PDB 6VSB.,,http://www.charmm-gui.org/?doc=archive&lib=covid19,
00:00-00:16,6,"m protein, e protein",FALSE,structure,M protein dimer and E protein pentamers were downloaded from Feig lab repository,,https://github.com/feiglab/sars-cov-2-proteins/tree/master/Membrane,
00:08-00:16,7,"n protein, RNP",TRUE,structure,Full-length N protein model was downloaded from Zhang lab repository and arranged in octamers as described in Chen et al 2007. N and C terminus were rotated and moved relative to one another in the animation to avoid steric clashes. This assumes a flexible attachment between N and C lobes.,"Chun-Yuan Chen, Chung-ke Chang, Yi-Wei Chang, Shih-Che Sue, Hsin-I Bai, Lilianty Riang, Chwan-Deng Hsiao, and Tai-huang Huang. Structure of the SARS Coronavirus Nucleocapsid Protein RNA-binding Dimerization Domain Suggests a Mechanism for Helical Packaging of Viral RNA. J Mol Biol. 2007 May 11; 368(4): 1075–1086.",https://zhanglab.ccmb.med.umich.edu/COVID-19/,
00:08-00:16,8,n protein,TRUE,structure,We are currently uncertain about how much the RNA should be coated with N protein.,,,
00:17-01:24,9,"ACE2, TMPRSS2, furin",FALSE,note,"Cell surface proteins: ACE2 (purple), TMPRSS2 (orange), furin (yellow) ",,,
00:17-01:24,10,ACE2 ,TRUE,structure,ACE2 is created using PDB 6M17 and animated as having a flexible 'neck' to allow for a tilted angle when binding to S protein. Both monomeric and dimeric ACE2 is shown in the animation.,,http://www.rcsb.org/structure/6m17,
00:17-01:24,11,TMPRSS2,FALSE,structure,TMPRSS2 was created using a model from the PhyreRisk repository. A 13nm flexible linker was added and linked to a transmembrane domain.,,http://phyrerisk.bc.ic.ac.uk/search?action=fresh-search&searchTerm=TMPRSS2,
00:17-01:24,12,Furin,FALSE,structure,"Furin model was created using PDB 1P8J (catalytic and protease domain), with a 42nm linker to a transmembrane domain added",,https://www.rcsb.org/structure/1p8j,
00:29-00:50,13,"ACE2, s protein",TRUE,event,"ACE2 on the cell membrane capture S proteins when they are in the ""up"" state. In the animation, an ACE dimer is shown binding to a S protein. Whether all three S proteins need to be bound for infection to occur is not clear. The number of Spikes that are engaged by ACE2 during an entry event is also uncertain.",,,
